Layer,IOType,Strategy,Inputs,Outputs,ReuseFactor,Precision,AreaHLS,LatencyHLS,IIHLS,AreaSYN
dense,io_stream,Latency,8,8,8,"ac_fixed<16,6,true>",23005.4,8,8,20039.110
dense,io_stream,Resource,8,8,1,"ac_fixed<16,6,true>",79611.5,1,1,18210.360
dense,io_stream,Resource,8,8,2,"ac_fixed<16,6,true>",43252.6,2,2,17628.086
dense,io_stream,Resource,8,8,3,"ac_fixed<16,6,true>",43252.6,2,2,17628.086
dense,io_stream,Resource,8,8,4,"ac_fixed<16,6,true>",23743.1,4,4,14138.964
dense,io_stream,Resource,8,8,5,"ac_fixed<16,6,true>",23743.1,4,4,14138.964
dense,io_stream,Resource,8,8,6,"ac_fixed<16,6,true>",23743.1,4,4,14138.964
dense,io_stream,Resource,8,8,7,"ac_fixed<16,6,true>",13952.8,8,8,9816.464
dense,io_stream,Resource,8,8,8,"ac_fixed<16,6,true>",13952.8,8,8,9816.464
dense,io_stream,Latency,16,16,1,"ac_fixed<16,6,true>",317801.6,2,1,77485.002
dense,io_stream,Latency,16,16,2,"ac_fixed<16,6,true>",188775.1,3,2,90059.354
dense,io_stream,Latency,16,16,3,"ac_fixed<16,6,true>",181180.2,5,4,126278.712
dense,io_stream,Latency,16,16,4,"ac_fixed<16,6,true>",122032.0,5,4,84461.384
dense,io_stream,Latency,16,16,5,"ac_fixed<16,6,true>",137421.2,7,6,108609.928
dense,io_stream,Latency,16,16,6,"ac_fixed<16,6,true>",88823.3,9,8,74030.460
dense,io_stream,Latency,16,16,7,"ac_fixed<16,6,true>",88823.3,9,8,74030.460
dense,io_stream,Latency,16,16,8,"ac_fixed<16,6,true>",88823.3,9,8,74030.460
dense,io_stream,Latency,16,16,9,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Latency,16,16,10,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Latency,16,16,11,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Latency,16,16,12,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Latency,16,16,13,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Latency,16,16,14,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Latency,16,16,15,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Latency,16,16,16,"ac_fixed<16,6,true>",73001.3,17,16,68065.144
dense,io_stream,Resource,16,16,1,"ac_fixed<16,6,true>",317801.6,2,1,77493.514
dense,io_stream,Resource,16,16,2,"ac_fixed<16,6,true>",166497.9,2,2,62770.946
dense,io_stream,Resource,16,16,3,"ac_fixed<16,6,true>",166497.9,2,2,62770.946
dense,io_stream,Resource,16,16,4,"ac_fixed<16,6,true>",88390.4,4,4,45794.826
dense,io_stream,Resource,16,16,5,"ac_fixed<16,6,true>",88390.4,4,4,45794.826
dense,io_stream,Resource,16,16,6,"ac_fixed<16,6,true>",88390.4,4,4,45794.826
dense,io_stream,Resource,16,16,7,"ac_fixed<16,6,true>",49206.6,8,8,28948.514
dense,io_stream,Resource,16,16,8,"ac_fixed<16,6,true>",49206.6,8,8,28948.514
dense,io_stream,Resource,16,16,9,"ac_fixed<16,6,true>",49206.6,8,8,28948.514
dense,io_stream,Resource,16,16,10,"ac_fixed<16,6,true>",49206.6,8,8,28948.514
dense,io_stream,Resource,16,16,11,"ac_fixed<16,6,true>",49206.6,8,8,28948.514
dense,io_stream,Resource,16,16,12,"ac_fixed<16,6,true>",49206.6,8,8,28948.514
dense,io_stream,Resource,16,16,13,"ac_fixed<16,6,true>",29904.6,16,16,18597.124
dense,io_stream,Resource,16,16,14,"ac_fixed<16,6,true>",29904.6,16,16,18597.124
dense,io_stream,Resource,16,16,15,"ac_fixed<16,6,true>",29904.6,16,16,18597.124
dense,io_stream,Resource,16,16,16,"ac_fixed<16,6,true>",29904.6,16,16,18597.124
dense,io_stream,Latency,32,32,1,"ac_fixed<16,6,true>",1263110.8,2,1,274333.514
dense,io_stream,Latency,32,32,2,"ac_fixed<16,6,true>",743336.4,3,2,333924.164
dense,io_stream,Latency,32,32,3,"ac_fixed<16,6,true>",661963.7,5,4,435223.614
dense,io_stream,Latency,32,32,4,"ac_fixed<16,6,true>",475688.3,5,4,322776.636
dense,io_stream,Latency,32,32,5,"ac_fixed<16,6,true>",474169.5,7,6,350626.570
dense,io_stream,Latency,32,32,6,"ac_fixed<16,6,true>",501739.6,8,7,370755.056
dense,io_stream,Latency,32,32,7,"ac_fixed<16,6,true>",341931.9,9,8,285836.152
dense,io_stream,Latency,32,32,8,"ac_fixed<16,6,true>",341931.9,9,8,285836.152
dense,io_stream,Latency,32,32,9,"ac_fixed<16,6,true>",367567.9,12,11,290466.680
dense,io_stream,Latency,32,32,10,"ac_fixed<16,6,true>",367567.9,12,11,290466.680
dense,io_stream,Latency,32,32,11,"ac_fixed<16,6,true>",279505.7,17,16,253682.604
dense,io_stream,Latency,32,32,12,"ac_fixed<16,6,true>",279505.7,17,16,253682.604
dense,io_stream,Latency,32,32,13,"ac_fixed<16,6,true>",279505.7,17,16,253682.604
dense,io_stream,Latency,32,32,14,"ac_fixed<16,6,true>",279505.7,17,16,253682.604
dense,io_stream,Latency,32,32,15,"ac_fixed<16,6,true>",279505.7,17,16,253682.604
dense,io_stream,Latency,32,32,16,"ac_fixed<16,6,true>",279505.7,17,16,253682.604
dense,io_stream,Latency,32,32,17,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,18,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,19,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,20,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,21,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,22,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,23,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,24,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,25,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,26,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,27,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,28,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,29,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,30,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,31,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Latency,32,32,32,"ac_fixed<16,6,true>",246359.6,33,32,239766.814
dense,io_stream,Resource,32,32,1,"ac_fixed<16,6,true>",1263110.8,2,1,274333.514
dense,io_stream,Resource,32,32,2,"ac_fixed<16,6,true>",655508.3,3,2,234191.720
dense,io_stream,Resource,32,32,3,"ac_fixed<16,6,true>",655508.3,3,2,234191.720
dense,io_stream,Resource,32,32,4,"ac_fixed<16,6,true>",340679.3,4,4,164174.934
dense,io_stream,Resource,32,32,5,"ac_fixed<16,6,true>",340679.3,4,4,164174.934
dense,io_stream,Resource,32,32,6,"ac_fixed<16,6,true>",340679.3,4,4,164174.934
dense,io_stream,Resource,32,32,7,"ac_fixed<16,6,true>",183928.1,8,8,99984.080
dense,io_stream,Resource,32,32,8,"ac_fixed<16,6,true>",183928.1,8,8,99984.080
dense,io_stream,Resource,32,32,9,"ac_fixed<16,6,true>",183928.1,8,8,99984.080
dense,io_stream,Resource,32,32,10,"ac_fixed<16,6,true>",183928.1,8,8,99984.080
dense,io_stream,Resource,32,32,11,"ac_fixed<16,6,true>",183928.1,8,8,99984.080
dense,io_stream,Resource,32,32,12,"ac_fixed<16,6,true>",183928.1,8,8,99984.080
dense,io_stream,Resource,32,32,13,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,14,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,15,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,16,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,17,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,18,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,19,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,20,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,21,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,22,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,23,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,24,"ac_fixed<16,6,true>",106664.0,16,16,58946.398
dense,io_stream,Resource,32,32,25,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
dense,io_stream,Resource,32,32,26,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
dense,io_stream,Resource,32,32,27,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
dense,io_stream,Resource,32,32,28,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
dense,io_stream,Resource,32,32,29,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
dense,io_stream,Resource,32,32,30,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
dense,io_stream,Resource,32,32,31,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
dense,io_stream,Resource,32,32,32,"ac_fixed<16,6,true>",67400.7,32,32,37839.298
